Article_ID,Source_Type,Database/Source,Search_Date,Search_Query,Title,Authors,Year,Journal/Conference,DOI,URL,Abstract,Document_Type,Language,Duplicate_Key,Duplicate?,Notes
IEEE-0001,API,IEEE Xplore,2026-09-23,"(""world model"" OR ""world models"") AND (""video"" OR ""video prediction"")",Latent Prediction-Based Generative Semantic Communication for Video Transmission in Wireless Networks,Maheshi Lokumarambage; Thushan Sivalingam; Feng Dong; Nandana Rajatheva; Anil Fernando,2026,IEEE Open Journal of the Communications Society,10.1109/OJCOMS.2026.3684230,https://ieeexplore.ieee.org/document/11482193/,"The increasing dominance of video traffic in intelligent sensing and control applications introduces a major challenge to the capacity limits of modern wireless networks. Classical information theory defines fixed physical boundaries on channel capacity, beyond which further improvement requires rethinking what information is transmitted. Semantic communication (SemCom) bridges this by only sending the semantics of the intended message. This paper presents a SemCom framework that leverages latent-space procedural video prediction with world-model-guided temporal dynamics. Instead of transmitting pixel data, the transmitter encodes high-level semantic representations of context frames and sends them through the physical channel. A temporal transformer predicts future latent states at the receiver. The framework jointly optimizes perceptual, adversarial, and temporal objectives to preserve both visual quality and trajectory consistency under channel impairments. Experiments conducted on video sequences of the BAIR robot pushing dataset demonstrate that the proposed method achieves lower normalized endpoint and velocity errors compared to learned baseline real-time intermediate flow estimation (RIFE) + better portable graphics (BPG) with reduced bit-rate compared to traditional codecs. The results indicate that incorporating temporal dynamics as semantics into the communication process enables efficient and anticipatory video transmission suitable for applications such as tele-robotic, underwater, and autonomous systems.",journal-article,en,latent_predictionbased_generative_semantic_communication_for_video_2026,,Citations: 1 | Content: Journals
IEEE-0002,API,IEEE Xplore,2026-09-23,"(""world model"" OR ""world models"") AND (""video"" OR ""video prediction"")",OcularWorldSim: A Visual World Model for Ophthalmic Microsurgery With Sim-to-Real Transfer Learning,Hongrui Chen; Lijuan Zhu; Lihong Lian; Yuqi Bai; Yuzhou Liu,2026,IEEE Access,10.1109/ACCESS.2026.3684562,https://ieeexplore.ieee.org/document/11482439/,"Microsurgery involving the eye requires precise surgical techniques performed at micrometer accuracy, making it difficult to design a robotic or autonomous surgical system that will work effectively in the domain of ophthalmic microsurgery. Some advances have been made toward surgical robotics and the field of Artificial Intelligence has seen great success, however, the methods used in solving the “sim-to-real” problem, which deals with bridging the gap between the simulated training environment and clinical environment, have not made sufficient progress. In this paper, we present OcularWorldSim, a new visual world model framework for ophthalmic microsurgery that provides a means for effective “sim-to-real” learning using simulations and clinical data. The OcularWorldSim framework consists of three core innovations: 1) an Anatomically-Aware Spatiotemporal Diffusion Transformer (AA-SDiT), which learns a structurally organized representation of surgical dynamics while also maintaining the constraints of eye anatomy; 2) a Hierarchical Domain Adaptation Module (HDAM) which progressively aligns the simulated and actual surgical distributions at different levels of granularity; and 3) a Clinically-Guided Reinforcement Learning (CGRL) paradigm that incorporates expert surgical knowledge into the optimization process used for developing the policy. In the area of surgical phase recognition using CATARACTS, OcularWorldSim achieved an accuracy of 89.7% (5.8 percentage points higher than the previously best performing method) while achieving 82.4% mean Intersection-over-Union (mIoU) across CaDIS tasks (7.4 percentage points higher). Clinical validation of the predictions produced by the OcularWorldSim framework performed by three experienced ophthalmologists showed that its predictions were consistently rated as coherent and anatomically plausible, indicating a potential future application for the OcularWorldSim framework in computer-assisted intervention systems.",journal-article,en,ocularworldsim_a_visual_world_model_for_ophthalmic_2026,,Citations: 0 | Content: Journals
IEEE-0003,API,IEEE Xplore,2026-09-23,"(""world model"" OR ""world models"") AND (""video"" OR ""video prediction"")",Simulating the Real World: A Unified Survey of Multimodal Generative Models,Yuqi Hu; Longguang Wang; Xian Liu; Ling-Hao Chen; Yuwei Guo; Yukai Shi; Ce Liu; Anyi Rao; Zeyu Wang; Hui Xiong,2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2026.3690925,https://ieeexplore.ieee.org/document/11509284/,"Understanding and replicating the real world is a critical challenge in Artificial General Intelligence (AGI) research. To achieve this, many existing approaches, such as world models, aim to capture the fundamental principles governing the physical world, enabling more accurate simulations and meaningful interactions. However, current methods often treat different modalities, including 2D (images), videos, 3D, and 4D representations, as independent domains, overlooking their interdependencies. Additionally, these methods typically focus on isolated dimensions of reality without systematically integrating their connections. In this survey, we present a unified survey for multimodal generative models that investigate the progression of data dimensionality in real-world simulation. Specifically, this survey starts from 2D generation (appearance), then moves to video (appearance+dynamics) and 3D generation (appearance+ geometry), and finally culminates in 4D generation that integrate all dimensions. To the best of our knowledge, this is the first attempt to systematically unify the study of 2D, video, 3D, and 4D generation within a single framework. To guide future research, we provide a comprehensive review of datasets, evaluation metrics, and future directions to foster insights for newcomers. This survey serves as a bridge to advance the study of multimodal generative models and real-world simulation within a unified framework.",journal-article,en,simulating_the_real_world_a_unified_survey_2026,,Citations: 2 | Content: Journals
IEEE-0004,API,IEEE Xplore,2026-09-23,"(""world model"" OR ""world models"") AND (""video"" OR ""video prediction"")",NRSeg: Noise-Resilient Learning for BEV Semantic Segmentation via Driving World Models,Siyu Li; Fei Teng; Yihong Cao; Kailun Yang; Zhiyong Li; Yaonan Wang,2026,IEEE Transactions on Image Processing,10.1109/TIP.2026.3671686,https://ieeexplore.ieee.org/document/11433529/,"Birds’ Eye View (BEV) semantic segmentation is an indispensable perception task in end-to-end autonomous driving systems. Unsupervised and semi-supervised learning for BEV tasks, as pivotal for real-world applications, underperform due to the homogeneous distribution of the labeled data. In this work, we explore the potential of synthetic data from driving world models to enhance the diversity of labeled data for robustifying BEV segmentation. Yet, our preliminary findings reveal that generation noise in synthetic data compromises efficient BEV model learning. To fully harness the potential of synthetic data from world models, this article proposes NRSeg, a noise-resilient learning framework for BEV semantic segmentation. Specifically, a Perspective-Geometry Consistency Metric (PGCM) is proposed to quantitatively evaluate the guidance capability of generated data for model learning. This metric originates from the alignment measure between the perspective road mask of generated data and the mask projected from the BEV labels. Moreover, a Bi-Distribution Parallel Prediction (BiDPP) is designed to enhance the inherent robustness of the model, where the learning process is constrained through parallel prediction of multinomial and Dirichlet distributions. The former efficiently predicts semantic probabilities, whereas the latter adopts evidential deep learning to realize uncertainty quantification. Furthermore, a Hierarchical Local Semantic Exclusion (HLSE) module is designed to address the non-mutual exclusivity inherent in BEV semantic segmentation tasks. The proposed framework is evaluated on BEV semantic segmentation using data generated by multiple world models, with comprehensive testing conducted on the public nuScenes dataset under unsupervised and semi-supervised settings. Experimental results demonstrate that NRSeg achieves state-of-the-art performance, yielding the highest improvements in mIoU of 13.8% and 11.4% in unsupervised and semi-supervised BEV segmentation tasks, respectively. The source code will be made publicly available at https://github.com/lynn-yu/NRSeg",journal-article,en,nrseg_noiseresilient_learning_for_bev_semantic_segmentation_2026,,Citations: 0 | Content: Journals
IEEE-0005,API,IEEE Xplore,2026-09-23,"(""world model"" OR ""world models"") AND (""video"" OR ""video prediction"")",CascadeOcc: Rethinking 3D Occupancy World Models With Cascaded VQ Representations,Kyumin Hwang; Wonhyeok Choi; Jaeyeul Kim; Jihun Park; Daehee Park; Sunghoon Im,2026,IEEE Signal Processing Letters,10.1109/LSP.2026.3680426,https://ieeexplore.ieee.org/document/11474772/,"This letter proposes CascadeOcc, a novel occupancy world model that prioritizes intrinsic structural hierarchy over extrinsic auxiliary modalities for autonomous driving. Occupancy world models—forecasting the future driving environment and planning the driving trajectory—effectively bridge perception and planning, but current approaches often heavily rely on external modalities or large language models, failing to fully exploit the inherent structural potential of occupancy representations themselves. To enhance representational capacity for complex 3D scenes, we integrate a cascaded Vector Quantized (VQ) mechanism into an autoregressive framework. Following a coarse-to-fine principle, CascadeOcc progressively refines fine-grained details from global structures through a multi-scale architecture. Additionally, we incorporate a TimeMixer to capture multi-scale temporal dependencies, establishing a dual-hierarchy mechanism in both space and time. Experimental results on 4D occupancy forecasting and motion planning benchmarks demonstrate that CascadeOcc achieves superior performance among vision-centric approaches, validating that optimizing inherent representations is a powerful alternative to relying on external foundation models.",journal-article,en,cascadeocc_rethinking_3d_occupancy_world_models_with_2026,,Citations: 0 | Content: Journals
IEEE-0006,API,IEEE Xplore,2026-09-23,"(""world model"" OR ""world models"") AND (""video"" OR ""video prediction"")",SPREAD: Scalable Pre-Trained World Model for Adaptive Dynamics Model,Jihun Moon; Seong-Woo Kim,2026,IEEE Robotics and Automation Letters,10.1109/LRA.2026.3688061,https://ieeexplore.ieee.org/document/11495089/,"Autonomous robots must be capable of adapting not only to training datasets but also to unfamiliar environments. World models, which learn predictive dynamics of the environment, have been proposed to overcome the task-specific limitations of conventional RL. However, their capability is typically restricted to training distributions. In this paper, we introduce SPREAD, the first framework that enables a pre-trained world model to learn environmental changes online, and continuously. SPREAD freezes the pre-trained model and updates only a set of LoRA adapters. This design jointly achieves three goals: (i) real-time adaptation, (ii) robustness to forgetting without a replay buffer, and (iii) forward transfer. Experiments demonstrate that SPREAD reduces prediction error by 40% within just 100 steps under diverse visual and dynamic changes, and that such adaptation directly translates into improved task success rates. Moreover, SPREAD validates its effectiveness in continual learning settings. By extending pre-trained world models to the domain of online continual learning, this work highlights world models that autonomously adapt to real-world dynamics.",journal-article,en,spread_scalable_pretrained_world_model_for_adaptive_2026,,Citations: 0 | Content: Journals
IEEE-0007,API,IEEE Xplore,2026-09-23,"(""world model"" OR ""world models"") AND (""video"" OR ""video prediction"")",Semantic Communications With World Models,Peiwen Jiang; Jiajia Guo; Chao-Kai Wen; Shi Jin; Jun Zhang,2026,IEEE Transactions on Communications,10.1109/TCOMM.2026.3714287,https://ieeexplore.ieee.org/document/11612870/,"Semantic communication is a promising technique for emerging wireless applications, which reduces transmission overhead by transmitting only task-relevant features instead of raw data. However, existing methods struggle under extremely low bandwidth and varying channel conditions, where corrupted or missing semantics lead to severe reconstruction errors. To resolve this difficulty, we propose a world foundation model (WFM)-aided semantic video transmission framework that leverages the predictive capability of WFMs to generate future frames based on the current frame and textual guidance. This design allows transmissions to be omitted when predictions remain reliable, thereby saving bandwidth. Through WFM’s prediction, the key semantics are preserved, yet minor prediction errors tend to amplify over time. To mitigate issue, a lightweight depth-based feedback module is introduced to determine whether transmission of the current frame is needed. Apart from transmitting the entire frame, a segmentation-assisted partial transmission method is proposed to repair degraded frames, which can further balance performance and bandwidth cost. Furthermore, an active transmission strategy is developed for mobile scenarios by exploiting camera trajectory information and proactively scheduling transmissions before channel quality deteriorates. Simulation results show that the proposed framework significantly reduces transmission overhead while maintaining task performances across varying scenarios and channel conditions.",journal-article,en,semantic_communications_with_world_models_2026,,Citations: 0 | Content: Journals
IEEE-0008,API,IEEE Xplore,2026-09-23,"(""world model"" OR ""world models"") AND (""video"" OR ""video prediction"")",Learning Visual Representation for Autonomous Drone Navigation via a Contrastive World Model,Jiang Zhao; Yibo Wang; Zhihao Cai; Ningjun Liu; Kun Wu; Yingxun Wang,2024,IEEE Transactions on Artificial Intelligence,10.1109/TAI.2023.3283488,https://ieeexplore.ieee.org/document/10145773/,"Visuomotor policy learning for vision-based navigation tasks is still challenging and necessary for autonomous systems. Learning a task-specific policy from scratch simplifies the training pipeline while suffering from poor data efficiency and transfer ability. This problem intends to be more intractable under a low-data regime. In this work, we present a self-supervised representation learning architecture that incorporates Spatial and Temporal information via a Contrastive world model (STC) to extract image representation for vision-based navigation tasks. Specifically, STC leverages the dynamics transition model based on a recurrent neural network to construct a joint low-dimensional latent space for spatial and temporal representations. We simultaneously optimize all components of this architecture using a multiobjective contrastive training loss. The resulting pretrained encoder model acts as a standalone feature extractor to promote the policy learning procedure. We evaluate the final optimized visuomotor policy on both the simulated drone navigation environment and the out-of-domain dataset. Experimental results demonstrate that our proposed method outperforms task-specific and representative contrastive learning baselines in challenging complex visual environments with more than half the improvement in data efficiency and provides significant gains in learning speed as well as the final performance. Code and video are available at: https://github.com/yibow-wang/cwm4drone.",journal-article,en,learning_visual_representation_for_autonomous_drone_navigation_2024,,Citations: 12 | Content: Journals
IEEE-0009,API,IEEE Xplore,2026-09-23,"(""world model"" OR ""world models"") AND (""video"" OR ""video prediction"")",FlowDreamer: A RGB-D World Model With Flow-Based Motion Representations for Robot Manipulation,Jun Guo; Xiaojian Ma; Yikai Wang; Min Yang; Huaping Liu; Qing Li,2026,IEEE Robotics and Automation Letters,10.1109/LRA.2026.3653273,https://ieeexplore.ieee.org/document/11345941/,"This paper investigates training better visual world models for robot manipulation, i.e., models that can predict future visual observations by conditioning on past frames and robot actions. Specifically, we consider world models that operate on RGB-D frames (RGB-D world models). As opposed to canonical approaches that handle dynamics prediction mostly implicitly and reconcile it with visual rendering in a single model, we introduce FlowDreamer, which adopts 3D scene flow as explicit motion representations. FlowDreamer first predicts 3D scene flow from the past frame and action conditions with a U-Net, and then a diffusion model will predict the future frame utilizing the scene flow. FlowDreamer is trained end-to-end despite its modularized nature. We conduct experiments on 4 different benchmarks, covering both video prediction and visual planning tasks. The results demonstrate that FlowDreamer achieves better performance compared to other baseline RGB-D world models by 7% on semantic similarity, 11% on pixel quality, and 6% on success rate in various robot manipulation domains.",journal-article,en,flowdreamer_a_rgbd_world_model_with_flowbased_2026,,Citations: 1 | Content: Journals
IEEE-0010,API,IEEE Xplore,2026-09-23,"(""world model"" OR ""world models"") AND (""video"" OR ""video prediction"")","Aligning Perception, Reasoning, Modeling and Interaction: A Survey on Physical AI",Kun Xiang; Terry Jingchen Zhang; Yinya Huang; Jixi He; Zirong Liu; Yueling Tang; Ruizhe Zhou; Lijing Luo; Youpeng Wen; Xiuwei Chen; Bingqian Lin; Jianhua Han; Hang Xu; Hanhui Li; Bin Dong; Xiaodan Liang,2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2026.3703038,https://ieeexplore.ieee.org/document/11561107/,"The convergence of embodied intelligence and world models has catalyzed growing interest in integrating physical laws into AI systems. While prior surveys have examined world models and embodied intelligence separately, we focus on the progression that connects these capabilities as a unified developmental pathway from passive observation to active physical comprehension. This survey provides a systematic framework revealing how physical AI advances through four interconnected stages: perception transforms sensory data into structured physical representations, reasoning derives explanations from observed phenomena, modeling enables predictive simulation grounded in physical principles, and embodied interaction closes the loop through physical manipulation and environmental feedback. Each stage enables and enhances the next: perceptual grounding supports causal reasoning, reasoning unlocks predictive capabilities, and robust models drive genuine physical interaction. Through analysis of developments spanning architectural innovations, training methodologies, causal inference, and embodied systems, we synthesize how physical understanding emerges through cumulative integration across this progression. Our framework reveals the evolution from isolated, task-specific solutions toward integrated architectures that advance from pattern recognition toward causal reasoning and counterfactual prediction. This perspective provides foundations for next-generation physical AI systems with direct implications for safe, generalizable, and interpretable deployment across robotics, scientific discovery, and autonomous systems.",journal-article,en,aligning_perception_reasoning_modeling_and_interaction_a_2026,,Citations: 2 | Content: Journals
