Article_ID,Source_Type,Database/Source,Search_Date,Search_Query,Title,Authors,Year,Journal/Conference,DOI,URL,Abstract,Document_Type,Language,Duplicate_Key,Duplicate?,Notes
PM-0001,API,PubMed,2026-09-22,Multiple queries (Q1-Q5),Action-Controlled Scale-Wise Flow Matching for Embodied World Models.,"Wang, Sen; Zhou, Sanping; Dong, Huaiyi; Xia, Kun; Hua, Gang; Wang, Le",2026,IEEE transactions on pattern analysis and machine intelligence,10.1109/TPAMI.2026.3727986,https://pubmed.ncbi.nlm.nih.gov/42647713/,"Action-conditioned world models are useful for embodied agents only when their predicted futures remain controllable by actions and stable under long-horizon rollout. We present SAMPO++, an embodied world model that treats action-conditioned prediction as a scale-decoupled controlled dynamical system rather than as conventional action-conditioned video generation. SAMPO++ couples temporal autoregression with scale-wise flow matching in a continuous latent pyramid. A multi-scale temporal planner summarizes the latent history with scale-matched recurrent states, allowing dynamics at different resolutions to be conditioned by appropriate temporal contexts. An Action-Controlled Velocity Field (ACVF) separates action free passive drift from action-induced residual dynamics, making the action an explicit bounded control input to the flow velocity instead of a passive conditioning token. To improve cross scale consistency and closed-loop stability, SAMPO++ further uses Pyramid-Consistent RoPE (PC-RoPE) and rollout-aware training, aligning scale-wise coordinates and exposing the model to its own autoregressive prediction distribution during training. Beyond standard perceptual metrics such as FVD, PSNR, SSIM, and LPIPS, we evaluate world-model-native properties including action alignment, counterfactual accuracy, no-op residual, and rollout drift. We further study SAMPO++ as a learned simulator for visual planning and policy-level evaluation, where policies or action chunks can be rolled out and compared before execution. Experiments across action-conditioned robotic manipulation, visual planning, and model-based reinforcement learning, together with action-free driving video prediction, show that SAMPO++ improves visual prediction quality while providing stronger action alignment, counterfactual accuracy, no-op residual suppression, and long-horizon rollout consistency over strong discrete and continuous baselines. Videos and additional details are available on the project page.",Journal Article,eng,actioncontrolled_scalewise_flow_matching_for_embodied_world_2026,,PMID: 42647713
PM-0002,API,PubMed,2026-09-22,Multiple queries (Q1-Q5),Probing for consciousness in machines.,"Immertreu, Mathis; Schilling, Achim; Maier, Andreas; Krauss, Patrick",2025,Frontiers in artificial intelligence,10.3389/frai.2025.1610225,https://pubmed.ncbi.nlm.nih.gov/40910115/,"This study explores the potential for artificial agents to develop core consciousness, as proposed by Antonio Damasio's theory of consciousness. According to Damasio, the emergence of core consciousness relies on the integration of a self model, informed by representations of emotions and feelings, and a world model. We hypothesize that an artificial agent, trained via reinforcement learning (RL) in a virtual environment, can develop preliminary forms of these models as a byproduct of its primary task. The agent's main objective is to learn to play a video game and explore the environment. To evaluate the emergence of world and self models, we employ probes-feedforward classifiers that use the activations of the trained agent's neural networks to predict the spatial positions of the agent itself. Our results demonstrate that the agent can form rudimentary world and self models, suggesting a pathway toward developing machine consciousness. This research provides foundational insights into the capabilities of artificial agents in mirroring aspects of human consciousness, with implications for future advancements in artificial intelligence.",Journal Article,eng,probing_for_consciousness_in_machines_2025,,PMID: 40910115
PM-0003,API,PubMed,2026-09-22,Multiple queries (Q1-Q5),Reinforcement learning as a robotics-inspired framework for insect navigation: from spatial representations to neural implementation.,"Lochner, Stephan; Honerkamp, Daniel; Valada, Abhinav; Straw, Andrew D",2024,Frontiers in computational neuroscience,10.3389/fncom.2024.1460006,https://pubmed.ncbi.nlm.nih.gov/39314666/,"Bees are among the master navigators of the insect world. Despite impressive advances in robot navigation research, the performance of these insects is still unrivaled by any artificial system in terms of training efficiency and generalization capabilities, particularly considering the limited computational capacity. On the other hand, computational principles underlying these extraordinary feats are still only partially understood. The theoretical framework of reinforcement learning (RL) provides an ideal focal point to bring the two fields together for mutual benefit. In particular, we analyze and compare representations of space in robot and insect navigation models through the lens of RL, as the efficiency of insect navigation is likely rooted in an efficient and robust internal representation, linking retinotopic (egocentric) visual input with the geometry of the environment. While RL has long been at the core of robot navigation research, current computational theories of insect navigation are not commonly formulated within this framework, but largely as an associative learning process implemented in the insect brain, especially in the mushroom body (MB). Here we propose specific hypothetical components of the MB circuit that would enable the implementation of a certain class of relatively simple RL algorithms, capable of integrating distinct components of a navigation task, reminiscent of hierarchical RL models used in robot navigation. We discuss how current models of insect and robot navigation are exploring representations beyond classical, complete map-like representations, with spatial information being embedded in the respective latent representations to varying degrees.",Journal Article,eng,reinforcement_learning_as_a_roboticsinspired_framework_for_2024,,PMID: 39314666
PM-0004,API,PubMed,2026-09-22,Multiple queries (Q1-Q5),Object Detection and Scene Perception for Connected and Autonomous Vehicles Using LM-JEPA.,"Gupta, Abhishek; Sultana, Ajmery",2026,"Sensors (Basel, Switzerland)",10.3390/s26154894,https://pubmed.ncbi.nlm.nih.gov/42590668/,"This paper presents the latent model-joint embedding predictive architecture (LM-JEPA), a resource-efficient collaborative perception framework for connected and autonomous vehicles that integrates latent predictive representation learning with lightweight multi-modal reasoning. Autonomous driving in urban and highway environments requires accurate scene understanding under strict latency, energy, and communication constraints, limiting the practicality of large language model (LLM) and vision-language model (VLM)-based approaches in edge deployments. To address this, LM-JEPA encodes heterogeneous inputs including camera, LiDAR, radar, and map data into a unified latent space using a joint embedding predictive architecture, enabling efficient perception and reasoning without token-level inference. Unlike existing latent-space learning approaches that primarily learn predictive visual embeddings for single-modal perception, the proposed framework integrates multi-modal latent reasoning and adaptive sensor fusion to support collaborative perception under resource-constrained vehicular edge environments. The collaborative perception framework introduces a context-adaptive multi-modal fusion mechanism that dynamically weights sensor and model contributions, along with selective latent transmission and adaptive decoding for resource-aware operation. A lightweight VLM is integrated with an edge-assisted vehicular pipeline to support real-time on-vehicle inference with adaptive offloading based on latency and energy constraints, while a latent-space reasoning module enables cooperative decision-making. Experiments on BDD100K and nuScenes-QA show that LM-JEPA improves perception accuracy by 5% and reduces latency by approximately 7% over LLM and VLM baselines, while achieving up to 25% improvement in scene understanding, 20% higher intersection success rates, improved highway merging, and approximately 15% reduction in the transmitted model parameters.",Journal Article,eng,object_detection_and_scene_perception_for_connected_2026,,PMID: 42590668
PM-0005,API,PubMed,2026-09-22,Multiple queries (Q1-Q5),Differentiable Cardiac Electrophysiology Simulations for Dynamical State and Parameter Estimation.,"Pashikanti, Adarsh; Chowdhary, Shrey; Ho, Alex; Li, Weizhen; Entcheva, Emilia; Christoph, Jan",2026,ArXiv,,https://pubmed.ncbi.nlm.nih.gov/42523580/,"The heart's contractions are triggered by action potential waves, which propagate through the cardiac muscle and exhibit diverse spatio-temporal dynamics during different heart rhythms. The dynamics are modeled with partial differential equations (PDEs) in cardiac electrophysiology simulations. However, fitting such models to measurement data to develop digital twins or patient-specific computer models is challenging. Here, we introduce differentiable cardiac electrophysiology simulations that can be fitted automatically to spatio-temporal measurement data of action potential waves in cardiac tissue. By comparing the simulated dynamics with the observation data, we define a loss function that is minimized via gradient-based optimization. Backpropagating the loss gradient through the differentiable PDE solver enables us to learn the parameters and recover the full dynamics, even with sparse, noisy, or partial observations. Implemented using both the finite-difference and smoothed particle hydrodynamics methods, our simulation framework can be applied to pixel-, voxel-, or point-based data, such as 2D or 3D slabs, or arbitrary shapes, such as the heart's ventricles. Using this methodology, we locate early activation sites inside a 3D bi-ventricular simulation geometry and fit a phenomenological model to imaging data of a voltage spiral wave in a cardiac monolayer cell culture. With experimental data, we employed a perceptual loss based on the Video Joint-Embedding Predictive Architecture, which enables fitting to noisy imaging data, and a generative diffusion model to estimate initial conditions and constrain solutions. Differentiable cardiac electrophysiology simulations could improve the diagnosis of rhythm abnormalities in patients and facilitate the development of personalized models or digital twins of the heart.","Journal Article, Preprint",eng,differentiable_cardiac_electrophysiology_simulations_for_dynamical_state_2026,,PMID: 42523580
PM-0006,API,PubMed,2026-09-22,Multiple queries (Q1-Q5),Shifting the retinal foundation models paradigm from slices to volumes for optical coherence tomography.,"Judkiewicz, Raphael; Berkowitz, Eran; Meisel, Meishar; Michaeli, Tomer; Behar, Joachim A",2026,NPJ digital medicine,10.1038/s41746-026-02496-7,https://pubmed.ncbi.nlm.nih.gov/41786902/,"Optical Coherence Tomography (OCT) is essential in ophthalmology for cross-sectional imaging of the retina. Pretrained foundation models facilitate task-specific model development by enabling fine-tuning with limited labeled data. However, current foundation models rely on a single B-scan (usually the central slice), overlooking volumetric context. This research investigates video foundation models to capture full 3D retinal structure and improve diagnostic performance. V-JEPA, a state-of-the-art video foundation model, was benchmarked against retinal foundation models (RETFound, VisionFM) and a natural image foundation model (DINOv2). All were fine-tuned to detect Age-related Macular Degeneration or Glaucomatous Optic Neuropathy using five OCT datasets. V-JEPA consistently equaled or outperformed image-based models, achieving an average AUROC of 0.94 (0.80-0.99), versus 0.90 (0.76-0.98) for the best image model, a statistically significant improvement (p < 0.001). To our knowledge, this is the first application of transformer-based video models to volumetric OCT, highlighting their promise in 3D medical imaging.",Journal Article,eng,shifting_the_retinal_foundation_models_paradigm_from_2026,,PMID: 41786902
PM-0007,API,PubMed,2026-09-22,Multiple queries (Q1-Q5),Health system learning achieves generalist neuroimaging models.,"Kondepudi, Akhil; Rao, Akshay; Zhao, Chenhui; Lyu, Yiwei; Harake, Samir; Banerjee, Soumyanil; Joshi, Rushikesh; Meissner, Anna-Katharina; Hou, Renly; Jiang, Cheng; Chowdury, Asadur; Srinivasan, Ashok; Athey, Brian; Gulani, Vikas; Pandey, Aditya; Lee, Honglak; Hollon, Todd",2025,Research square,10.21203/rs.3.rs-8166797/v1,https://pubmed.ncbi.nlm.nih.gov/41377995/,"Frontier artificial intelligence (AI) models, such as OpenAI's GPT-5 (1) and Meta's DINOv3 (2), have advanced rapidly through training on internet-scale public data, yet such systems lack access to private clinical data. Neuroimaging, in particular, is underrepresented in the public domain due to identifiable facial features within MRI and CT scans, fundamentally restricting model performance in clinical medicine (3). Here, we show that frontier models underperform on neuroimaging tasks and that learning directly from uncurated data generated during routine clinical care at health systems, a paradigm we call health system learning, yields high-performance, generalist neuroimaging models. We introduce NeuroVFM, a visual foundation model trained on 5.24 million clinical MRI and CT volumes using a scalable volumetric joint-embedding predictive architecture. NeuroVFM learns comprehensive representations of brain anatomy and pathology, achieving state-of-the-art performance across multiple clinical tasks, including radiologic diagnosis and report generation. The model exhibits emergent neuroanatomic understanding and interpretable visual grounding of diagnostic findings. When paired with open-source language models through lightweight visual instruction tuning, NeuroVFM generates radiology reports that surpass frontier models in accuracy, clinical triage, and expert preference. Through clinically grounded visual understanding, NeuroVFM reduces hallucinated findings and critical errors, offering safer clinical decision support. These results establish health system learning as a paradigm for building generalist medical AI and provide a scalable framework for clinical foundation models.","Journal Article, Preprint",eng,health_system_learning_achieves_generalist_neuroimaging_models_2025,,PMID: 41377995
PM-0008,API,PubMed,2026-09-22,Multiple queries (Q1-Q5),Adaptive consolidation of active inference: excitatory and inhibitory mechanisms for organizing feedforward and feedback memory systems in sleep.,"Tucker, Don M; Luu, Phan; Friston, Karl J",2025,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhaf122,https://pubmed.ncbi.nlm.nih.gov/40422982/,"Cognitive self-organization rests on activity-dependent plasticity to extend the ontogenetic process of neural differentiation and integration of the cerebral cortex in each act of cognition. This account of neurocognitive growth can be formulated in terms of active inference and learning. The organism regulates synaptic connectivity as it seeks its goals actively, through excitatory, feedforward expectancies that manifest its species-specific affordances. These adaptive expectancies are modified reactively, through inhibitory feedback error-correction to fit and predict environmental encounters. Although adaptive behavior, and concomitant synaptic plasticity, occur during waking, the synaptic architecture requires ongoing consolidation and refinement during sleep. We propose that memory consolidation during sleep is a continuation of the neurodevelopmental process that proceeds through a kind of inversion of waking active inference: NREM sleep first refines the brain's representations of new, unpredicted experiences during waking, implementing inhibitory mechanisms of long-term depression that both differentiate and stabilize new representations for consolidation. REM sleep then updates the organism's generative world model in light of this new learning through excitatory long-term potentiation of synaptic plasticity. REM thereby reconsolidates and integrates the organism's adaptive, feedforward predictions, the Bayesian priors for effective coping.","Journal Article, Review",eng,adaptive_consolidation_of_active_inference_excitatory_and_2025,,PMID: 40422982
PM-0009,API,PubMed,2026-09-22,Multiple queries (Q1-Q5),Structured Dynamics in the Algorithmic Agent.,"Ruffini, Giulio; Castaldo, Francesca; Vohryzek, Jakub",2025,"Entropy (Basel, Switzerland)",10.3390/e27010090,https://pubmed.ncbi.nlm.nih.gov/39851710/,"In the Kolmogorov Theory of Consciousness, algorithmic agents utilize inferred compressive models to track coarse-grained data produced by simplified world models, capturing regularities that structure subjective experience and guide action planning. Here, we study the dynamical aspects of this framework by examining how the requirement of tracking natural data drives the structural and dynamical properties of the agent. We first formalize the notion of a generative model using the language of symmetry from group theory, specifically employing Lie pseudogroups to describe the continuous transformations that characterize invariance in natural data. Then, adopting a generic neural network as a proxy for the agent dynamical system and drawing parallels to Noether's theorem in physics, we demonstrate that data tracking forces the agent to mirror the symmetry properties of the generative world model. This dual constraint on the agent's constitutive parameters and dynamical repertoire enforces a hierarchical organization consistent with the manifold hypothesis in the neural network. Our findings bridge perspectives from algorithmic information theory (Kolmogorov complexity, compressive modeling), symmetry (group theory), and dynamics (conservation laws, reduced manifolds), offering insights into the neural correlates of agenthood and structured experience in natural systems, as well as the design of artificial intelligence and computational models of the brain.",Journal Article,eng,structured_dynamics_in_the_algorithmic_agent_2025,,PMID: 39851710
PM-0010,API,PubMed,2026-09-22,Multiple queries (Q1-Q5),Generative morphodynamic forecasting enables robust zero-shot volumetric medical segmentation.,"Dai, Duwei; Dong, Caixia; Dai, Guowei; Li, Xiaoli; Liu, Fan; Yang, Xu; Qin, Bowen; Yan, Qingsen",2026,Medical image analysis,10.1016/j.media.2026.104180,https://pubmed.ncbi.nlm.nih.gov/42385278/,"Video foundation models show strong potential for interactive volumetric medical image parsing but can suffer from memory drift when applied directly to 3D medical volumes with severe, patient-specific topological changes. In the evaluated settings, standard reactive memory architectures and geometric prompts provide limited guidance for newly appearing, fragmented, or low-contrast structures, which can lead to accumulated segmentation errors. To mitigate this issue, we introduce a generative anticipatory framework that augments reactive tracking with morphological forecasting. By combining the semantic reasoning of large language models with the continuous latent dynamics of neural stochastic differential equations, our approach forecasts plausible anatomical trajectories. We propose an uncertainty-guided dual-stream memory architecture to integrate these forecasted priors with noisy visual evidence. This mechanism uses predictive spatial variance to balance empirical visual observations and forecasted priors, improving topological consistency under challenging imaging conditions in our benchmarks. We further formulate human-in-the-loop interactive corrections via Bayesian state resetting, translating expert interventions into more efficient volumetric correction. Evaluations across diverse clinical datasets show strong training-free generalization, improved robustness to morphodynamic variation, and higher interactive efficiency among the evaluated methods. These results suggest a promising uncertainty-aware direction for promptable volumetric medical segmentation.",Journal Article,eng,generative_morphodynamic_forecasting_enables_robust_zeroshot_volumetric_2026,,PMID: 42385278
