"Article_ID","Source_Type","Database/Source","Search_Date","Search_Query","Title","Authors","Year","Journal/Conference","DOI","URL","Abstract","Document_Type","Language","Duplicate_Key","Duplicate?","Notes"
"SCOPUS-0001","API","Scopus","2026-09-22","TITLE-ABS-KEY((""world model"" OR ""world models"" OR ""learned dynamics model"") AND (""JEPA"" OR ""joint embedding predictive architecture"" OR ""generative world model"" OR ""diffusion world model"") AND (""video prediction"" OR ""planning"" OR ""model-based RL"")) AND PUBYEAR > 2017 AND PUBYEAR < 2027 AND DOCTYPE(ar)","What Drives Success in Physical Planning with Joint-Embedding Predictive World Models?","Terver B.","2026","Transactions on Machine Learning Research","","","A long-standing challenge in AI is to develop agents capable of solving a wide range of physical tasks and generalizing to new, unseen tasks and environments. A popular recent approach involves training a world model from state-action trajectories and subsequently use it with a planning algorithm to solve new tasks. Planning is commonly performed in the input space, but a recent family of methods has introduced planning algorithms that optimize in the learned representation space of the world model, with the promise that abstracting irrelevant details yields more efficient planning. In this work, we characterize models from this family as JEPA-WMs and investigate the technical choices that make algorithms from this class work. We propose a comprehensive study of several key components with the objective of finding the optimal approach within the family. We conducted experiments using both simulated environments and real-world robotic data, and studied how the model architecture, the training objective, and the planning algorithm affect planning success. We combine our findings to propose a model that outperforms two established baselines, DINO-WM and V-JEPA-2-AC, in both navigation and manipulation tasks. Code, data and checkpoints are available at https://github.com/facebookresearch/jepa-wms.","journal-article","en","what_drives_success_in_physical_planning_with_2026","","Cited by: 0"
"SCOPUS-0002","API","Scopus","2026-09-22","TITLE-ABS-KEY((""world model"" OR ""world models"" OR ""learned dynamics model"") AND (""JEPA"" OR ""joint embedding predictive architecture"" OR ""generative world model"" OR ""diffusion world model"") AND (""video prediction"" OR ""planning"" OR ""model-based RL"")) AND PUBYEAR > 2017 AND PUBYEAR < 2027 AND DOCTYPE(ar)","World4RL: Diffusion World Models for Policy Refinement with Reinforcement Learning for Robotic Manipulation","Jiang Z.","2026","IEEE Robotics and Automation Letters","10.1109/LRA.2026.3728345","https://doi.org/10.1109/LRA.2026.3728345","Robotic manipulation policies are commonly initialized through imitation learning, but their performance is limited by the scarcity and narrow coverage of expert data. Reinforcement learning can refine polices to alleviate this limitation, yet real-robot training is costly and unsafe, while training in simulators suffers from the sim-to-real gap. Recent advances in generative models have demonstrated remarkable capabilities in real-world simulation, with diffusion models in particular excelling at generation. This raises the question of how diffusion model-based world models can be combined to enhance pre-trained policies in robotic manipulation. In this work, we propose World4RL, a framework that employs diffusion-based world models as high-fidelity simulators to refine pre-trained policies entirely in imagined environments for robotic manipulation. Unlike prior works that primarily employ world models for planning, our framework enables direct end-to-end policy optimization. World4RL is designed around two principles: pre-training a diffusion world model that captures diverse dynamics on multi-task datasets and refining policies entirely within a frozen world model to avoid online real-world interactions. We further design a two-hot action encoding scheme tailored for robotic manipulation and adopt diffusion backbones to improve modeling fidelity. Extensive simulation and real-world experiments demonstrate that World4RL provides high-fidelity environment modeling and enables consistent policy refinement, yielding significantly higher success rates compared to imitation learning and other baselines.","journal-article","en","world4rl_diffusion_world_models_for_policy_refinement_2026","","Cited by: 0"
"SCOPUS-0003","API","Scopus","2026-09-22","TITLE-ABS-KEY((""world model"" OR ""world models"" OR ""learned dynamics model"") AND (""JEPA"" OR ""joint embedding predictive architecture"" OR ""generative world model"" OR ""diffusion world model"") AND (""video prediction"" OR ""planning"" OR ""model-based RL"")) AND PUBYEAR > 2017 AND PUBYEAR < 2027 AND DOCTYPE(ar)","Generative World Modeling for Risk-Aware Autonomous UAV Navigation in Dynamic Traffic Networks","Momani A.M.","2026","Computers Materials and Continua","10.32604/cmc.2026.082572","https://doi.org/10.32604/cmc.2026.082572",": Unmanned Aerial Vehicles (UAVs) are finding more and more applications in logistics, surveillance, and other operations at a large scale. However, autonomous navigation in dynamic traffic situations is not an easy task due to limited energy, moving obstacles, and inter-agent interactions. The proposed paper can be discussed as a Generative World Modeling (GWM) framework of risk-focused UAV navigation in the dynamic traffic network. This paper proposes a GWM framework for risk-aware UAV navigation in dynamic traffic networks. The proposed design incorporates three key elements; a generative world model for predicting future environmental conditions, a diffusion-based trajectory-generation component that generates multiple possible paths, and a risk-aware decision-making component that selects trajectories based on energy use, collision avoidance, and mission criteria. The framework is also extended to the case of a multi-UAV swarm, where a coordinated swarm is facilitated by shared representations in the latent space to alleviate potential conflicts. The experimental analysis of real-world-inspired UAV trajectory data indicates that the proposed GWM framework outperforms the classical, reinforcement-based, and conflict-aware baseline approaches across a range of performance metrics, including mission success rate, delivery time, energy cost, safety, and path efficiency. The findings indicate that with risk-sensitive and generative prediction, autonomous UAV missions should be more robust, effective, and secure in uncertain, complex environments.","journal-article","en","generative_world_modeling_for_riskaware_autonomous_uav_2026","","Cited by: 0"
"SCOPUS-0004","API","Scopus","2026-09-22","TITLE-ABS-KEY((""world model"" OR ""world models"" OR ""learned dynamics model"") AND (""JEPA"" OR ""joint embedding predictive architecture"" OR ""generative world model"" OR ""diffusion world model"") AND (""video prediction"" OR ""planning"" OR ""model-based RL"")) AND PUBYEAR > 2017 AND PUBYEAR < 2027 AND DOCTYPE(ar)","Intelligent driving foundation model","Hu J.","2026","Journal of Image and Graphics","10.11834/jig.260085","https://doi.org/10.11834/jig.260085","","journal-article","en","intelligent_driving_foundation_model_2026","","Cited by: 0"
"SCOPUS-0005","API","Scopus","2026-09-22","TITLE-ABS-KEY((""world model"" OR ""world models"" OR ""learned dynamics model"") AND (""JEPA"" OR ""joint embedding predictive architecture"" OR ""generative world model"" OR ""diffusion world model"") AND (""video prediction"" OR ""planning"" OR ""model-based RL"")) AND PUBYEAR > 2017 AND PUBYEAR < 2027 AND DOCTYPE(ar)","Hybrid intelligence systems for reliable automation: advancing knowledge work and autonomous operations with scalable AI architectures","Grosvenor A.","2025","Frontiers in Robotics and AI","10.3389/frobt.2025.1566623","https://doi.org/10.3389/frobt.2025.1566623","Introduction Mission-critical automation demands decision-making that is explainable, adaptive, and scalable—attributes elusive to purely symbolic or data-driven approaches. We introduce a hybrid intelligence (H-I) system that fuses symbolic reasoning with advanced machine learning via a hierarchical architecture, inspired by cognitive frameworks like Global Workspace Theory (Baars, A Cognitive Theory of Consciousness, 1988). Methods This architecture operates across three levels to achieve autonomous, end-to-end workflows: Navigation: Using Vision Transformers, and graph-based neural networks, the system navigates file systems, databases, and software interfaces with precision. Discrete Actions: Multi-framework automated machine learning (AutoML) trains agents to execute discrete decisions, augmented by Transformers and Joint Embedding Predictive Architectures (JEPA) (Assran et al., 2023, 15619–15629) for complex time-series analysis, such as anomaly detection. Planning: Reinforcement learning, world model-based reinforcement learning, and model predictive control orchestrate adaptive workflows tailored to user requests or live system demands. Results The system’s capabilities are demonstrated in two mission-critical applications: Space Domain Awareness, Satellite Behavior Detection: A graph-based JEPA paired with multi-agent reinforcement learning enables near real-time anomaly detection across 15,000 on-orbit objects, delivering a precision-recall score of 0.98. Autonomously Driven Simulation Setup: The system autonomously configures Computational Fluid Dynamics (CFD) setups, with an AutoML-driven optimizer enhancing the meshing step—boosting boundary layer capture propagation (BL-CP) from 8% to 98% and cutting geometry failure rates from 88% to 2% on novel aircraft geometries. Scalability is a cornerstone, with the distributed training pipeline achieving linear scaling across 2,000 compute nodes for AI model training, while secure model aggregation incurs less than 4% latency in cross-domain settings. Discussion By blending symbolic precision with data-driven adaptability, this hybrid intelligence system offers a robust, transferable framework for automating complex knowledge work in domains like space operations and engineering simulations—and adjacent applications such as autonomous energy and industrial facility operations, paving the way for next-generation industrial AI systems.","journal-article","en","hybrid_intelligence_systems_for_reliable_automation_advancing_2025","","Cited by: 5"
"SCOPUS-0006","API","Scopus","2026-09-22","TITLE-ABS-KEY((""world model"" OR ""world models"" OR ""learned dynamics model"") AND (""JEPA"" OR ""joint embedding predictive architecture"" OR ""generative world model"" OR ""diffusion world model"") AND (""video prediction"" OR ""planning"" OR ""model-based RL"")) AND PUBYEAR > 2017 AND PUBYEAR < 2027 AND DOCTYPE(ar)","Structured Dynamics in the Algorithmic Agent","Ruffini G.","2025","Entropy","10.3390/e27010090","https://doi.org/10.3390/e27010090","In the Kolmogorov Theory of Consciousness, algorithmic agents utilize inferred compressive models to track coarse-grained data produced by simplified world models, capturing regularities that structure subjective experience and guide action planning. Here, we study the dynamical aspects of this framework by examining how the requirement of tracking natural data drives the structural and dynamical properties of the agent. We first formalize the notion of generative model using the language of symmetry from group theory, specifically employing Lie pseudogroups to describe the continuous transformations that characterize invariance in natural data. Then, adopting a generic neural network as a proxy for the agent dynamical system and drawing parallels to Noether’s theorem in physics, we demonstrate that data tracking forces the agent to mirror the symmetry properties of the generative world model. This dual constraint on the agent’s constitutive parameters and dynamical repertoire enforces a hierarchical organization consistent with the manifold hypothesis in the neural network. Our findings bridge perspectives from algorithmic information theory (Kolmogorov complexity, compressive modeling), symmetry (group theory), and dynamics (conservation laws, reduced manifolds), offering insights into the neural correlates of agenthood and structured experience in natural systems, as well as the design of artificial intelligence and computational models of the brain. Highlights Lie generative models are formalized using Lie pseudogroups, linking algorithmic simplicity, recursion, and compositionality with symmetry. Neural networks inherit structural constraints reflecting the symmetries in Lie-generated data. Similarly, agents, instantiated as neural networks tracking world Lie-generated data, reflect Lie structure and reduced-dimensional dynamical manifolds. Compositional structure in world data induces coarse-grained constraints, resulting in reduced manifolds that reflect the underlying generative process. Mutual Algorithmic Information (MAI) between the agent and the world emerges as shared symmetries in their dynamical interactions. These findings provide new insights for neuroscience, AI design, and computational brain modeling, emphasizing the interplay between data structure and agent dynamics.","journal-article","en","structured_dynamics_in_the_algorithmic_agent_2025","","Cited by: 5"
"SCOPUS-0007","API","Scopus","2026-09-22","TITLE-ABS-KEY((""world model"" OR ""world models"") AND (""video"" OR ""visual"") AND (""JEPA"" OR ""generative"" OR ""diffusion"" OR ""autoregressive"")) AND PUBYEAR > 2017 AND DOCTYPE(ar)","Vision-language and generative models in traffic video safety analysis: a computational framework and research agenda","Wang C.","2026","Accident Analysis and Prevention","10.1016/j.aap.2026.108673","https://doi.org/10.1016/j.aap.2026.108673","Vision-language and generative models have recently emerged as powerful tools for interpreting multimodal traffic-video data and advancing safety analysis. This paper reviews and integrates progress across foundation vision-language models, multimodal large language models, video-centric temporal reasoning frameworks, and diffusion-based world models, emphasizing how these paradigms enable richer semantic understanding, causal reasoning, and counterfactual safety assessment. We propose a unified taxonomy that maps model families to three application levels across diverse deployment environments-from cloud to onboard systems: network-scale monitoring, event-level crash and near-miss understanding, and generative or counterfactual scenario analysis. Key technical and methodological challenges are identified, including hallucination control, temporal consistency, sim-to-real transfer, and safety alignment with physical and rule-based constraints. The paper synthesizes open research problems and outlines a structured agenda toward grounded, interpretable, and computationally efficient multimodal cognition for real-world traffic safety applications.","journal-article","en","visionlanguage_and_generative_models_in_traffic_video_2026","","Cited by: 0"
"SCOPUS-0008","API","Scopus","2026-09-22","TITLE-ABS-KEY((""world model"" OR ""world models"") AND (""video"" OR ""visual"") AND (""JEPA"" OR ""generative"" OR ""diffusion"" OR ""autoregressive"")) AND PUBYEAR > 2017 AND DOCTYPE(ar)","Toward stable world models: Measuring and addressing world instability in generative environments","Kwon S.","2026","Pattern Recognition","10.1016/j.patcog.2026.113351","https://doi.org/10.1016/j.patcog.2026.113351","","journal-article","en","toward_stable_world_models_measuring_and_addressing_2026","","Cited by: 0"
"SCOPUS-0009","API","Scopus","2026-09-22","TITLE-ABS-KEY((""world model"" OR ""world models"") AND (""video"" OR ""visual"") AND (""JEPA"" OR ""generative"" OR ""diffusion"" OR ""autoregressive"")) AND PUBYEAR > 2017 AND DOCTYPE(ar)","Simulating the Real World: A Unified Survey of Multimodal Generative Models","Hu Y.","2026","IEEE Transactions on Pattern Analysis and Machine Intelligence","10.1109/TPAMI.2026.3690925","https://doi.org/10.1109/TPAMI.2026.3690925","Understanding and replicating the real world is a critical challenge in Artificial General Intelligence (AGI) research. To achieve this, many existing approaches, such as world models, aim to capture the fundamental principles governing the physical world, enabling more accurate simulations and meaningful interactions. However, current methods often treat different modalities, including 2D (images), videos, 3D, and 4D representations, as independent domains, overlooking their interdependencies. Additionally, these methods typically focus on isolated dimensions of reality without systematically integrating their connections. In this survey, we present a unified survey for multimodal generative models that investigate the progression of data dimensionality in real-world simulation. Specifically, this survey starts from 2D generation (appearance), then moves to video (appearance+dynamics) and 3D generation (appearance+ geometry), and finally culminates in 4D generation that integrate all dimensions. To the best of our knowledge, this is the first attempt to systematically unify the study of 2D, video, 3D, and 4D generation within a single framework. To guide future research, we provide a comprehensive review of datasets, evaluation metrics, and future directions to foster insights for newcomers. This survey serves as a bridge to advance the study of multimodal generative models and real-world simulation within a unified framework.","journal-article","en","simulating_the_real_world_a_unified_survey_2026","","Cited by: 0"
"SCOPUS-0010","API","Scopus","2026-09-22","TITLE-ABS-KEY((""world model"" OR ""world models"") AND (""video"" OR ""visual"") AND (""JEPA"" OR ""generative"" OR ""diffusion"" OR ""autoregressive"")) AND PUBYEAR > 2017 AND DOCTYPE(ar)","Can World Foundation Models Generate Realistic Driving Videos? A Case Study on Pedestrian Crossing Scenarios","Zhou C.","2026","Electronics Switzerland","10.3390/electronics15143033","https://doi.org/10.3390/electronics15143033","Autonomous vehicle (AV) technologies have advanced rapidly in recent years, driving an increasing demand for large-scale, high-quality annotated data. However, collecting and annotating real-world pedestrian video datasets is time-consuming, costly, and often insufficient to cover rare and safety-critical scenarios. Recent world foundation models have demonstrated impressive capabilities in generating realistic videos, yet their suitability for safety-critical autonomous driving applications remains largely unexplored. In this work, we investigate whether current world foundation models can generate driving scenarios that are sufficiently realistic and behaviourally consistent for autonomous driving research. We conduct a case study centred on pedestrian–vehicle interactions captured from ego-vehicle dashcam viewpoints, where subtle behavioural and geometric errors can have significant safety implications. To support this investigation, we develop SynPeDAS, an open research framework comprising a collection of synthetic pedestrian-interaction videos, a reusable generation pipeline for transforming real-world driving footage into synthetic scenarios, an automated evaluation suite, and downstream demonstration code. Through quantitative evaluation and structured human assessment, we identify several recurring failure modes, including dynamic misalignment, depth drift, and object persistence inconsistencies. More importantly, we find that commonly used evaluation metrics frequently exhibit ceiling effects and weak alignment with human judgement, limiting their ability to detect safety-critical behavioural errors. These findings indicate that, despite high perceptual realism at the frame level, current generative world models and existing evaluation methodologies remain insufficient for capturing physically grounded motion and task-critical semantics. Consequently, significant challenges remain before world model-generated videos can be considered reliable for safety-critical autonomous driving applications. SynPeDAS provides an open platform for systematically studying these challenges and developing improved generation and evaluation methods.","journal-article","en","can_world_foundation_models_generate_realistic_driving_2026","","Cited by: 0"
