Article_ID,Title,IC1,IC2,IC3,IC4,IC5,EC1,EC2,EC3,EC4,EC5,EC6,Inclusion_Score,Exclusion_Flag,Screening_Decision,Exclusion_Reason,Screening_Notes
OA-0001,Understanding World or Predicting Future? A Comprehensive Survey of World Models,No,No,No,No,No,No,No,Yes,No,No,No,0,YES,Exclude,EC3: Topik tidak relevan (Bukan arsitektur world model / out of scope),Fokus pada AI umum / klasifikasi konvensional tanpa pemodelan world dynamics
OA-0002,Prospective Role of Foundation Models in Advancing Autonomous Vehicles,No,No,No,No,No,No,No,Yes,No,No,No,0,YES,Exclude,EC3: Topik tidak relevan (Bukan arsitektur world model / out of scope),Fokus pada AI umum / klasifikasi konvensional tanpa pemodelan world dynamics
OA-0003,When Remote Sensing Meets Foundation Model: A Survey and Beyond,No,No,No,No,No,No,No,Yes,No,No,No,0,YES,Exclude,EC3: Topik tidak relevan (Bukan arsitektur world model / out of scope),Fokus pada AI umum / klasifikasi konvensional tanpa pemodelan world dynamics
OA-0004,A Survey on Vision--Language--Action Models for Embodied AI,No,No,No,No,No,No,No,Yes,No,No,No,0,YES,Exclude,EC3: Topik tidak relevan (Bukan arsitektur world model / out of scope),Fokus pada AI umum / klasifikasi konvensional tanpa pemodelan world dynamics
OA-0005,Towards Generalist Robot Learning from Internet Video: A Survey,No,No,No,No,No,No,No,Yes,No,No,No,0,YES,Exclude,EC3: Topik tidak relevan (Bukan arsitektur world model / out of scope),Fokus pada AI umum / klasifikasi konvensional tanpa pemodelan world dynamics
OA-0006,"Research on World Models for Connected Automated Driving: Advances, Challenges, and Outlook",No,No,No,No,No,No,No,Yes,No,No,No,0,YES,Exclude,EC3: Topik tidak relevan (Bukan arsitektur world model / out of scope),Fokus pada AI umum / klasifikasi konvensional tanpa pemodelan world dynamics
OA-0007,When Does Sora Show: The Beginning of TAO to Imaginative Intelligence and Scenarios Engineering,No,No,No,No,No,No,No,Yes,No,No,No,0,YES,Exclude,EC3: Topik tidak relevan (Bukan arsitektur world model / out of scope),Fokus pada AI umum / klasifikasi konvensional tanpa pemodelan world dynamics
OA-0008,Latent Prediction-Based Generative Semantic Communication for Video Transmission in Wireless Networks,No,No,No,No,No,No,No,Yes,No,No,No,0,YES,Exclude,EC3: Topik tidak relevan (Bukan arsitektur world model / out of scope),Fokus pada AI umum / klasifikasi konvensional tanpa pemodelan world dynamics
OA-0009,Generative emergent communication: large language model is a collective world model,No,No,No,No,No,No,No,Yes,No,No,No,0,YES,Exclude,EC3: Topik tidak relevan (Bukan arsitektur world model / out of scope),Fokus pada AI umum / klasifikasi konvensional tanpa pemodelan world dynamics
OA-0010,Scaling up self-supervised learning for improved surgical foundation models,No,No,No,No,No,No,No,Yes,No,No,No,0,YES,Exclude,EC3: Topik tidak relevan (Bukan arsitektur world model / out of scope),Fokus pada AI umum / klasifikasi konvensional tanpa pemodelan world dynamics
OA-0011,Shifting the retinal foundation models paradigm from slices to volumes for optical coherence tomography,No,No,No,No,No,No,No,Yes,No,No,No,0,YES,Exclude,EC3: Topik tidak relevan (Bukan arsitektur world model / out of scope),Fokus pada AI umum / klasifikasi konvensional tanpa pemodelan world dynamics
OA-0012,Foundation Models in Remote Sensing: Evolving from unimodality to multimodality,No,No,No,No,No,No,No,No,Yes,No,No,0,YES,Exclude,EC4: Bukan domain observasi video / visual sekuensial (data teks/tabular/graf statis),Tidak memuat dinamika temporal observasi video
OA-0013,Towards efficient real-time video motion transfer via generative time series modeling,No,No,No,No,No,No,No,Yes,No,No,No,0,YES,Exclude,EC3: Topik tidak relevan (Bukan arsitektur world model / out of scope),Fokus pada AI umum / klasifikasi konvensional tanpa pemodelan world dynamics
