Article_ID,Source_Type,Database/Source,Search_Date,Search_Query,Title,Authors,Year,Journal/Conference,DOI,URL,Abstract,Document_Type,Language,Duplicate_Key,Duplicate?,Notes
SS-0001,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),GAIA-2: A Controllable Multi-View Generative World Model for Autonomous Driving,Lloyd Russell; Anthony Hu; Lorenzo Bertoni; George Fedoseev; Jamie Shotton; Elahe Arani; Gianluca Corrado,2025,arXiv.org,10.48550/arXiv.2503.20523,https://www.semanticscholar.org/paper/234159e46e429d0ccd3718110861ec81d9c5dfe1,"Generative models offer a scalable and flexible paradigm for simulating complex environments, yet current approaches fall short in addressing the domain-specific requirements of autonomous driving - such as multi-agent interactions, fine-grained control, and multi-camera consistency. We introduce GAIA-2, Generative AI for Autonomy, a latent diffusion world model that unifies these capabilities within a single generative framework. GAIA-2 supports controllable video generation conditioned on a rich set of structured inputs: ego-vehicle dynamics, agent configurations, environmental factors, and road semantics. It generates high-resolution, spatiotemporally consistent multi-camera videos across geographically diverse driving environments (UK, US, Germany). The model integrates both structured conditioning and external latent embeddings (e.g., from a proprietary driving model) to facilitate flexible and semantically grounded scene synthesis. Through this integration, GAIA-2 enables scalable simulation of both common and rare driving scenarios, advancing the use of generative world models as a core tool in the development of autonomous systems. Videos are available at https://wayve.ai/thinking/gaia-2.",JournalArticle,English,gaia2_a_controllable_multiview_generative_world_model_2025,,Citations: 179
SS-0002,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),EA-WM: Event-Aware Generative World Model with Structured Kinematic-to-Visual Action Fields,Zhaoyang Yang; Yurun Jin; Lizhe Qi; Cong Huang; Kai Chen,2026,arXiv.org,10.48550/arXiv.2605.06192,https://www.semanticscholar.org/paper/93c4892c910c32d359747ce93795ff613b9a3fc7,"Pretrained video diffusion models provide powerful spatiotemporal generative priors, making them a natural foundation for robotic world models. While recent world-action models jointly optimize future videos and actions, they predominantly treat video generation as an auxiliary representation for policy learning. Consequently, they insufficiently explore the inverse problem: leveraging action signals to guide video synthesis, thereby often failing to preserve precise robot spatial geometry and fine-grained robot-object interaction dynamics in the generated rollouts. To bridge this gap, we present EA-WM, an Event-Aware Generative World Model that effectively closes the loop between kinematic control and visual perception. Rather than injecting joint or end-effector actions as abstract, low-dimensional tokens, EA-WM projects actions and kinematic states directly into the target camera view as Structured Kinematic-to-Visual Action Fields. To fully exploit this geometrically grounded representation, we introduce event-aware bidirectional fusion blocks that modulate cross-branch attention, capturing object state changes and interaction dynamics. Evaluated on the comprehensive WorldArena benchmark, EA-WM achieves state-of-the-art performance, outperforming existing baselines by a significant margin.",JournalArticle,English,eawm_eventaware_generative_world_model_with_structured_2026,,Citations: 3
SS-0003,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),Lyra: Generative 3D Scene Reconstruction via Video Diffusion Model Self-Distillation,Sherwin Bahmani; Tianchang Shen; Jia-Wei Ren; Jiahui Huang; Yifeng Jiang; Haithem Turki; Andrea Tagliasacchi; David B. Lindell; Zan Gojcic; Sanja Fidler; Huan Ling; Jun Gao; Xuanchi Ren,2025,arXiv.org,10.48550/arXiv.2509.19296,https://www.semanticscholar.org/paper/eb6ca77d28285c95ac370052deda4a53f65e05e6,"The ability to generate virtual environments is crucial for applications ranging from gaming to physical AI domains such as robotics, autonomous driving, and industrial AI. Current learning-based 3D reconstruction methods rely on the availability of captured real-world multi-view data, which is not always readily available. Recent advancements in video diffusion models have shown remarkable imagination capabilities, yet their 2D nature limits the applications to simulation where a robot needs to navigate and interact with the environment. In this paper, we propose a self-distillation framework that aims to distill the implicit 3D knowledge in the video diffusion models into an explicit 3D Gaussian Splatting (3DGS) representation, eliminating the need for multi-view training data. Specifically, we augment the typical RGB decoder with a 3DGS decoder, which is supervised by the output of the RGB decoder. In this approach, the 3DGS decoder can be purely trained with synthetic data generated by video diffusion models. At inference time, our model can synthesize 3D scenes from either a text prompt or a single image for real-time rendering. Our framework further extends to dynamic 3D scene generation from a monocular input video. Experimental results show that our framework achieves state-of-the-art performance in static and dynamic 3D scene generation.",JournalArticle,English,lyra_generative_3d_scene_reconstruction_via_video_2025,,Citations: 29
SS-0004,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),MaskGWM: A Generalizable Driving World Model with Video Mask Reconstruction,J. Ni; Yuxin Guo; Yichen Liu; Rui Chen; Le-Wei Lu; Zehuan Wu,2025,Computer Vision and Pattern Recognition,10.1109/CVPR52734.2025.02085,https://www.semanticscholar.org/paper/820c0952bdf09861673b06393bf824a40e5a618e,"World models that forecast environmental changes from actions are vital for autonomous driving models with strong generalization. The prevailing driving world model mainly build on video prediction model. Although these models can produce high-fidelity video sequences with advanced diffusion-based generator, they are constrained by their predictive duration and overall generalization capabilities. In this paper, we explore to solve this problem by combining generation loss with MAE-style feature-level context learning. In particular, we instantiate this target with three key design: (1) A more scalable Diffusion Transformer (DiT) structure trained with extra mask construction task. (2) we devise diffusion-related mask tokens to deal with the fuzzy relations between mask reconstruction and generative diffusion process. (3) we extend mask construction task to spatial-temporal domain by utilizing row-wise mask for shifted self-attention rather than masked self-attention in MAE. Then, we adopt a row-wise cross-view module to align with this mask design. Based on above improvement, we propose MaskGWM: a Generalizable driving World Model embodied with Video Mask reconstruction. Our model contains two variants: MaskGWM-long, focusing on long-horizon prediction, and MaskGWM-mview, dedicated to multi-view generation. Comprehensive experiments on standard benchmarks validate the effectiveness of the proposed method, which contain normal validation of Nuscene dataset, long-horizon rollout of OpenDV-2K dataset and zero-shot validation of Waymo dataset. Quantitative metrics on these datasets show our method notably improving state-of-the-art driving world model. Our project page is https://github.com/SenseTime-FVG/OpenDWM.","JournalArticle, Conference",English,maskgwm_a_generalizable_driving_world_model_with_2025,,Citations: 36
SS-0005,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),Object-Centric World Model for Language-Guided Manipulation,Youngjoon Jeong; Junha Chun; Soonwoo Cha; Taesup Kim,2025,arXiv.org,10.48550/arXiv.2503.06170,https://www.semanticscholar.org/paper/82cd021b224e150c2be9a5611bdf6b44b218488a,"A world model is essential for an agent to predict the future and plan in domains such as autonomous driving and robotics. To achieve this, recent advancements have focused on video generation, which has gained significant attention due to the impressive success of diffusion models. However, these models require substantial computational resources. To address these challenges, we propose a world model leveraging object-centric representation space using slot attention, guided by language instructions. Our model perceives the current state as an object-centric representation and predicts future states in this representation space conditioned on natural language instructions. This approach results in a more compact and computationally efficient model compared to diffusion-based generative alternatives. Furthermore, it flexibly predicts future states based on language instructions, and offers a significant advantage in manipulation tasks where object recognition is crucial. In this paper, we demonstrate that our latent predictive world model surpasses generative world models in visuo-linguo-motor control tasks, achieving superior sample and computation efficiency. We also investigate the generalization performance of the proposed method and explore various strategies for predicting actions using object-centric representations.",JournalArticle,English,objectcentric_world_model_for_languageguided_manipulation_2025,,Citations: 16
SS-0006,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),Upscale-A-Video: Temporal-Consistent Diffusion Model for Real-World Video Super-Resolution,Shangchen Zhou; Peiqing Yang; Jianyi Wang; Yi-Hang Luo; Chen Change Loy,2023,Computer Vision and Pattern Recognition,10.1109/CVPR52733.2024.00245,https://www.semanticscholar.org/paper/95a1305f252f53d5d7bed8cf9d9091d6dbdeb0ab,"Text-based diffusion models have exhibited remarkable success in generation and editing, showing great promise for enhancing visual content with their generative prior. However, applying these models to video super-resolution remains challenging due to the high demands for output fidelity and temporal consistency, which is complicated by the inherent randomness in diffusion models. Our study introduces Upscale-A-Video, a text-guided latent diffusion framework for video upscaling. This framework ensures temporal coherence through two key mechanisms: locally, it integrates temporal layers into U-Net and VAE-Decoder, maintaining consistency within short sequences; globally, without training, a flow-guided recurrent latent propagation module is introduced to enhance overall video stability by propagating and fusing latent across the entire sequences. Thanks to the diffusion paradigm, our model also offers greater flexibility by allowing text prompts to guide texture creation and adjustable noise levels to balance restoration and generation, enabling a trade-off between fidelity and quality. Extensive experiments show that Upscale-A-Video surpasses existing methods in both synthetic and real-world benchmarks, as well as in AI-generated videos, showcasing impressive visual realism and temporal consistency.","JournalArticle, Conference",English,upscaleavideo_temporalconsistent_diffusion_model_for_realworld_video_2023,,Citations: 168
SS-0007,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),STORM: Search-Guided Generative World Models for Robotic Manipulation,Wenjun Lin; Jensen Zhang; Kaitong Cai; Keze Wang,2025,arXiv.org,10.48550/arXiv.2512.18477,https://www.semanticscholar.org/paper/2eb4f5d6dc6d8797cde8b13357760627246e0cb3,"We present STORM (Search-Guided Generative World Models), a novel framework for spatio-temporal reasoning in robotic manipulation that unifies diffusion-based action generation, conditional video prediction, and search-based planning. Unlike prior Vision-Language-Action (VLA) models that rely on abstract latent dynamics or delegate reasoning to language components, STORM grounds planning in explicit visual rollouts, enabling interpretable and foresight-driven decision-making. A diffusion-based VLA policy proposes diverse candidate actions, a generative video world model simulates their visual and reward outcomes, and Monte Carlo Tree Search (MCTS) selectively refines plans through lookahead evaluation. Experiments on the SimplerEnv manipulation benchmark demonstrate that STORM achieves a new state-of-the-art average success rate of 51.0 percent, outperforming strong baselines such as CogACT. Reward-augmented video prediction substantially improves spatio-temporal fidelity and task relevance, reducing Frechet Video Distance by over 75 percent. Moreover, STORM exhibits robust re-planning and failure recovery behavior, highlighting the advantages of search-guided generative world models for long-horizon robotic manipulation.",JournalArticle,English,storm_searchguided_generative_world_models_for_robotic_2025,,Citations: 6
SS-0008,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),"Generative AI in depth: A survey of recent advances, model variants, and real-world applications",Shamim Yazdani; Akansha Singh; N. Saxena; Zi-Chong Wang; Avash Palikhe; Deng Pan; Umapada Pal; Jie Yang; Wen-Bin Zhang,2025,Journal of Big Data,10.1186/s40537-025-01247-x,https://www.semanticscholar.org/paper/c820be0b7036c2f04a499f9dfa3f7fdcca6bb710,"In recent years, deep learning based generative models, particularly Generative Adversarial Networks (GANs), Variational Autoencoders (VAEs), and Diffusion Models (DMs), have been instrumental in generating diverse, high-quality content across various domains, such as image and video synthesis. This capability has led to widespread adoption of these models and has captured strong public interest. As they continue to advance at a rapid pace, the growing volume of research, expanding application areas, and unresolved technical challenges make it increasingly difficult to stay current. To address this need, this survey introduces a comprehensive taxonomy that organizes the literature and provides a cohesive framework for understanding the development of GANs, VAEs, and DMs, including their many variants and combined approaches. We highlight key innovations that have improved the quality, diversity, and controllability of generated outputs, reflecting the expanding potential of generative artificial intelligence. In addition to summarizing technical progress, we examine rising ethical concerns, including the risks of misuse and the broader societal impact of synthetic media. Finally, we outline persistent challenges and propose future research directions, offering a structured and forward looking perspective for researchers in this fast evolving field.","JournalArticle, Review",English,generative_ai_in_depth_a_survey_of_2025,,Citations: 28
SS-0009,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),VideoScene: Distilling Video Diffusion Model to Generate 3D Scenes in One Step,Han-Yang Wang; Fang-Fu Liu; Jia-Wei Chi; Yue-Qi Duan,2025,Computer Vision and Pattern Recognition,10.1109/CVPR52734.2025.01536,https://www.semanticscholar.org/paper/22425f9b359f37d8d7372b2889ee976eac632db2,"Recovering 3D scenes from sparse views is a challenging task due to its inherent ill-posed problem. Conventional methods have developed specialized solutions (e.g., geometry regularization or feed-forward deterministic model) to mitigate the issue. However, they still suffer from performance degradation by minimal overlap across input views with insufficient visual information. Fortunately, recent video generative models show promise in addressing this challenge as they are capable of generating video clips with plausible 3D structures. Powered by large pretrained video diffusion models, some pioneering research start to explore the potential of video generative prior and create 3D scenes from sparse views. Despite impressive improvements, they are limited by slow inference time and the lack of 3D constraint, leading to inefficiencies and reconstruction artifacts that do not align with real-world geometry structure. In this paper, we propose VideoScene to distill the video diffusion model to generate 3D scenes in one step, aiming to build an efficient and effective tool to bridge the gap from video to 3D. Specifically, we design a 3D-aware leap flow distillation strategy to leap over time-consuming redundant information and train a dynamic denoising policy network to adaptively determine the optimal leap timestep during inference. Extensive experiments demonstrate that our VideoScene achieves faster and superior 3D scene generation results than previous video diffusion models, highlighting its potential as an efficient tool for future video to 3D applications.","JournalArticle, Conference",English,videoscene_distilling_video_diffusion_model_to_generate_2025,,Citations: 33
SS-0010,API,Semantic Scholar,2026-09-22,Multiple queries (Q1-Q10),AVID: Adapting Video Diffusion Models to World Models,Marc Rigter; Tarun Gupta; Agrin Hilmkil; Chao Ma,2024,arXiv.org,10.48550/arXiv.2410.12822,https://www.semanticscholar.org/paper/c70bb9721ae75d650832bfe609c412165332fd5a,"Large-scale generative models have achieved remarkable success in a number of domains. However, for sequential decision-making problems, such as robotics, action-labelled data is often scarce and therefore scaling-up foundation models for decision-making remains a challenge. A potential solution lies in leveraging widely-available unlabelled videos to train world models that simulate the consequences of actions. If the world model is accurate, it can be used to optimize decision-making in downstream tasks. Image-to-video diffusion models are already capable of generating highly realistic synthetic videos. However, these models are not action-conditioned, and the most powerful models are closed-source which means they cannot be finetuned. In this work, we propose to adapt pretrained video diffusion models to action-conditioned world models, without access to the parameters of the pretrained model. Our approach, AVID, trains an adapter on a small domain-specific dataset of action-labelled videos. AVID uses a learned mask to modify the intermediate outputs of the pretrained model and generate accurate action-conditioned videos. We evaluate AVID on video game and real-world robotics data, and show that it outperforms existing baselines for diffusion model adaptation.1 Our results demonstrate that if utilized correctly, pretrained video models have the potential to be powerful tools for embodied AI.",JournalArticle,English,avid_adapting_video_diffusion_models_to_world_2024,,Citations: 38
