"Article_ID","Source_Type","Database/Source","Search_Date","Search_Query","Title","Authors","Year","Journal/Conference","DOI","URL","Abstract","Document_Type","Language","Duplicate_Key","Duplicate?","Notes"
"SN-0001","API","Springer Nature","2026-09-22","""world model"" video","The use of large language models to solve mathematical modeling problems: preservice mathematics teachers’ use practices, perceived affordances and challenges, and trustworthiness judgments of AI-generated outputs","Cevikbas, Mustafa; Kaiser, Gabriele","2026","ZDM – Mathematics Education","10.1007/s11858-026-01786-4","https://doi.org/10.1007/s11858-026-01786-4","Mathematical modeling is a core component of mathematics education, enabling learners to connect mathematical ideas with real-world phenomena. Yet, it remains challenging for preservice teachers (PSTs), who must develop their own modeling competence while preparing to guide future students in reasoning about authentic situations. Large language models (LLMs) offer promising, though underexplored, potential to scaffold these complex learning processes by providing real-time explanations, supporting reasoning, and assisting with problem solving. This study examines how PSTs engage with LLMs while solving modeling problems, focusing on the perceived affordances, challenges, and trustworthiness of these tools, an essential aspect for developing critical and pedagogically responsible AI use in modeling. The study involved 150 PSTs enrolled in a master’s-level mathematics course at a German university who worked collaboratively on three authentic modeling tasks. Multiple data sources were analyzed, including worksheets documenting LLM-user interactions, open-ended survey responses, and semi-structured interviews. The findings revealed that LLMs were predominantly used during the mathematization and understanding/simplifying phases of modeling, supporting assumption-making, formula retrieval, and the development of mathematical models and solution strategies. While participants valued LLMs’ efficiency and support, they raised concerns about inaccuracies, overreliance, and limited usefulness for reflective phases of modeling, such as validation. These results highlight the potentials and constraints of LLMs in modeling and call for pedagogical frameworks to cultivate critical AI literacy, epistemic awareness, and responsible use of LLMs in teacher education.","journal-article","en","the_use_of_large_language_models_to_2026","","Publisher: Springer Nature | Type: Article"
"SN-0002","API","Springer Nature","2026-09-22","""world model"" video","Slow Drift Temporal Poisoning attacks and vision language model guided defense for BEV perception in autonomous vehicles","Hallur, Sudhakar; Baskaran, G.; Kattoju, Hari Krishna; Gajendra, B. V.; Beechu, Srikar GeethaPrabhu","2026","Discover Vehicles","10.1007/s44465-026-00048-7","https://doi.org/10.1007/s44465-026-00048-7","World-model BEV perception maintains a persistent temporal latent memory that can be gradually corrupted by perturbations too small to trigger existing per-frame anomaly checks. We formalize this as Slow-Drift Temporal Poisoning (SDTP): frame-wise perturbations bounded by a small digital L∞ budget (ε ≤ 2/255) - a standard proxy for low perturbation magnitude, not a validated measure of human-perceptual imperceptibility or physical-world realizability, jointly optimized across a temporal window via a Backward Temporal Gradient procedure, that reach an 84.3% Temporal Drift Success Rate by frame 32 on BEVFormer-T while evading temporal-consistency defenses calibrated on single-step thresholds. We propose SemantiGuard, a cross-modal defense that cross-checks BEV detections against a frozen vision-language model’s scene description and triggers latent-memory rollback on divergence, reducing the Temporal Drift Success Rate (TDSR) from 91.2% to 13.8% under the primary evaluation configuration (SDTP-L: ε = 4/255, T = 32, BEVFormer-T, Table 6), with a lower 11.2% TDSR observed under the smaller SDTP-M ablation configuration (ε = 2/255, T = 16, Table 7). We also introduce TemporalAdvBEV, a benchmark extending RoboBEV with multi-frame adversarial configurations and drift-specific metrics. These results indicate that temporal memory is an attack surface that BEV security evaluation has not yet accounted for, and that cross-modal semantic verification is a promising, if not yet field-validated, direction for defending it. The paper also introduces TemporalAdvBEV, a benchmark extending RoboBEV with multi-frame adversarial configurations and drift-specific metrics, designed to support evaluation on both nuScenes and Waymo Open, with nuScenes results reported in this manuscript.","journal-article","en","slow_drift_temporal_poisoning_attacks_and_vision_2026","","Publisher: Springer Nature | Type: Article"
"SN-0003","API","Springer Nature","2026-09-22","""world model"" video","Diffusion Model-Based Video Editing: A Survey","Sun, Wenhao; Tu, Rong-Cheng; Liao, Jingyi; Tao, Dacheng","2026","International Journal of Computer Vision","10.1007/s11263-026-03040-6","https://doi.org/10.1007/s11263-026-03040-6","The rapid development of diffusion models (DMs) has significantly advanced image and video applications, making ""what you want is what you see"" a reality. Among these, video editing has gained substantial attention and seen a swift rise in research activity, necessitating a comprehensive and systematic review of the existing literature. This paper reviews diffusion model-based video editing techniques, including theoretical foundations and practical applications. We begin by overviewing the mathematical formulation and image domain’s key methods. Subsequently, we categorize video editing approaches by the inherent connections of their core technologies, depicting evolutionary trajectory. This paper also dives into novel applications, including point-based and pose-guided human video editing. Additionally, we present a comprehensive comparison using our newly introduced V2VBench. Building on the progress achieved to date, the paper concludes with ongoing challenges and potential directions for future research. A project related to this paper can be found at https://github.com/wenhao728/awesome-diffusion-v2v .","journal-article","en","diffusion_modelbased_video_editing_a_survey_2026","","Publisher: Springer Nature | Type: Article"
"SN-0004","API","Springer Nature","2026-09-22","""world model"" video","Prompt robustness, fine-tuning, and Generalization in open-vocabulary object detection: a comparative study of YOLO-World, YOLO-World v2 and YOLOE","Ozuberk, Melisa Alara; Cinar, Ilkay","2026","Multimedia Tools and Applications","10.1007/s11042-026-21928-w","https://doi.org/10.1007/s11042-026-21928-w","Open-vocabulary object detection architectures stand as an emerging research field because they enable recognition of new classes through textual prompts without additional training. Existing studies mainly focus on accuracy metrics while prompt robustness, unseen class generalization and computational costs are rarely evaluated together. This study conducts a systematic evaluation of open-vocabulary object detection models by analyzing their performance in terms of accuracy, prompt robustness, unseen class generalization, and inference cost. The evaluation includes YOLO-World, YOLO-World v2, and YOLOE models under three scenarios: zero-shot inference, prompt variation, and fine-tuning on VOC2012 segmentation subset, HomeObjects-3 K, and KITTI. Zero-shot results show that the highest performance is obtained on HomeObjects-3 K, where YOLO-World v2 achieves 0.443 mAP@0.5:0.95, while KITTI produces the lowest performance due to domain shift. YOLO-World v2 provides the best balance between accuracy and speed, operating between 20 and 30 FPS. On the VOC dataset, YOLOE achieves the highest zero-shot accuracy with 0.310 mAP@0.5:0.95 but shows lower inference speed in some cases. Prompt sensitivity analysis reveals performance drops under noisy prompt conditions while YOLO-World v2 maintains better stability. Latency analysis with increasing prompt counts shows that the YOLO-World family benefits from an embedding cache mechanism that improves inference efficiency. After fine-tuning, mAP scores improve for all models, although zero performance appears for some unseen categories. The YOLO-World family maintains some open-vocabulary generalization ability, whereas YOLOE exhibits closed-set-like behavior under the adopted fine-tuning protocol, as its predictions remain insensitive to the evaluated prompt variations. The results indicate that model selection should consider accuracy, inference speed, prompt robustness, and unseen class generalization.","journal-article","en","prompt_robustness_finetuning_and_generalization_in_openvocabulary_2026","","Publisher: Springer Nature | Type: Article"
"SN-0005","API","Springer Nature","2026-09-22","""world model"" video","Zum historischen Wandel von Schulund Unterrichtskulturen und Lernergebnissen. Anlage und erste Befunde eines interdisziplinären Forschungsprojektes","Feldhoff, Tobias; Klieme, Eckhard; Reh, Sabine; Wurster, Sebastian; Kurig, Julia; Neuhard, Sven; Oerke, Britta; Polze, Hella; Schäfer, Lisa; Steinert, Brigitte","2026","Zeitschrift für Erziehungswissenschaft","10.1007/s11618-026-01423-6","https://doi.org/10.1007/s11618-026-01423-6","Das interdisziplinäre Projekt „Schule im Wandel“ untersucht den Wandel von Schulund Unterrichtskulturen in Deutschland zwischen den 1970er und 2020er-Jahren. Grundlage sind Daten der sog. „Drei-Länder-Studie“ von 1978/79 von Helmut Fend (Fend 1982 a, b) und einer Follow-Up-Erhebung von 2023 an denselben Schulen mit weitgehend originalen Fragebögen und -tests. Analysiert werden Veränderungen in der Schulkultur (u. a. Partizipationsverhältnisse, Leistungserwartungen, pädagogische Orientierungen), der Unterrichtskultur (z. B. Unterstützung, Struktur, Adaptivität) sowie den Lernergebnissen. Die stärkste schulkulturelle Veränderung zeigt sich in den Leistungserwartungen, die gesunken sind. Die „Disziplinund Kontrollorientierung“ der Lehrkräfte ist gestiegen, während ihre Kooperation abgenommen hat. Unterschiede zwischen Schulformen in Bezug auf pädagogische Orientierungen haben sich verringert, während sie in Bezug auf akademische Komposition und Fachleistungen gestiegen sind. Die Ergebnisse werden bildungshistorisch kontextualisiert und diskutiert. The interdisciplinary project ‘Schools in time of change’ studies the transformation of school and teaching cultures in Germany between the 1970s and 2020s. It is based on data from the so-called ‘Three-State Study’ of 1978/79 by Helmut Fend (Fend 1982 b) and a follow-up survey of 2023 at the same schools with largely original questionnaires and tests. Changes in school culture (e.g. participation, achievement expectation, pedagogical orientations), teaching culture (e.g. support, structure, adaptivity) and learning outcomes are analyzed. Among the dimensions of school culture, the largest change is seen in achievement expectations, which decreased—except in the Gymnasium track. Teachers’ orientation towards ‘discipline and control’ has increased, while their cooperation decreased. Differences between school types decreased with respect to school culture but increased with respect to academic composition and level of achievement. The results are contextualized from the perspective of the history of education.","journal-article","en","zum_historischen_wandel_von_schulund_unterrichtskulturen_und_2026","","Publisher: Springer Nature | Type: Article"
"SN-0006","API","Springer Nature","2026-09-22","""world model"" video","Performance characterization framework for light field 3D display","Liu, Yi-Jian; Li, Yi-Hang; Zhang, Lin-Bo; Li, Wei-Ze; Wen, Xue-Rui; Lin, Xing-Yu; Zhao, Yu-Hang; Wang, Qiong-Hua; Xing, Yan","2026","PhotoniX","10.1186/s43074-026-00286-8","https://doi.org/10.1186/s43074-026-00286-8","Light field 3D displays are widely considered the optimal pathway for immersive visualization to bridge the physical and digital spaces within the metaverse. However, the lack of a unified theoretical foundation leaves hardware design reliant on empirical heuristics, restricting the deterministic development of light field 3D displays. Here, a performance characterization framework is established by introducing ray-phase space to mathematically analyze light field propagation. With regard to viewing angle, the formation mechanism and distributions of correct and crosstalk rays are characterized, enabling the definition of the complete crosstalk-free viewing zone. Regarding depth and resolution, the propagation induced expansion of light field units is analyzed, leading to a depth-dependent spatial resolution model. Following these definitions, the intrinsic constraints among performance metrics are analyzed within typical parameter ranges. This analysis yields a space-bandwidth-product-based feasible domain, providing a deterministic guideline for initial hardware parameter selection. To validate the proposed framework, a 31.5-inch 8 K light field 3D display prototype utilizing a crossed lenticular lens array was constructed. Experimental results demonstrate good agreement with the analytical model. The measured viewing angle closely matches the analytical limits, and the resolution degradation follows the theoretical prediction, with a coefficient of determination of R ^2 = 0.8561 for experimental measurements. These results indicate that the proposed framework can support performance characterization and initial hardware parameter selection for light field 3D display systems.","journal-article","en","performance_characterization_framework_for_light_field_3d_2026","","Publisher: Springer Nature | Type: Article"
"SN-0007","API","Springer Nature","2026-09-22","""world model"" video","Artificial Intelligence in Ophthalmic Surgery: Applications Across the Perioperative Pathway","Grzybowski, Andrzej; Jin, Kai","2026","Current Surgery Reports","10.1007/s40137-026-00534-7","https://doi.org/10.1007/s40137-026-00534-7","Purpose of Review This narrative review examines how artificial intelligence is being applied across the ophthalmic surgical pathway, spanning preoperative planning, intraoperative guidance and training, and postoperative prediction, and it identifies the priorities required for responsible clinical adoption. Recent Findings Recent studies show that preoperative biometric planning in cataract surgery and surgical video analysis are currently the most mature applications, while image-based risk stratification in corneal and retinal surgery and prediction of postoperative visual or refractive outcomes are advancing steadily. By contrast, real-time intraoperative guidance and autonomous robotic support remain earlier in development and are still limited by data heterogeneity, workflow-integration challenges, and sparse prospective validation. Summary Artificial intelligence is unlikely to replace ophthalmic surgeons in the near term, but it can augment clinical judgment, standardize workflows, and improve efficiency and safety across the perioperative pathway. Wider clinical adoption will depend on stronger external validation, better interpretability, integration into real-world surgical workflows, and prospective studies demonstrating meaningful patient benefit.","journal-article","en","artificial_intelligence_in_ophthalmic_surgery_applications_across_2026","","Publisher: Springer Nature | Type: Article"
"SN-0008","API","Springer Nature","2026-09-22","""world model"" video","Semantic bridge-guided training-free open-vocabulary segmentation for fashion visual understanding","Muttal, Channabasappa; Giri, Chandadevi; Mulla, Md Naveed; Dhane, Ratan","2026","The Visual Computer","10.1007/s00371-026-04732-3","https://doi.org/10.1007/s00371-026-04732-3","Automated fashion image understanding supports e-commerce, virtual try-on, and visual search, yet existing segmentation methods rely on closed vocabularies and extensive pixel-level annotations that limit generalization to unseen garment categories and flexible, natural language queries. This work introduces SemBridge, ontology-guided zero-shot fashion segmentation pipeline that employs a large language model (LLM) as a semantic bridge to convert free-form user prompts into structured fashion concepts and synonym-enriched detection queries to improve detection accuracy. The pipeline orchestrates four foundation models: FLAN-T5-XL for semantic parsing, Grounding DINO for zero-shot localization, SAM for pixel-level mask generation, and CLIP for open-vocabulary attribute recognition without any task-specific training. On the Fashionpedia benchmark, SemBridge achieves 38.2% mask AP $$_{50}$$ 50 , 31.3% COCO-style mAP, and 84.0% mean IoU across 44 categories in a fully zero-shot setting, representing a 7.6-fold improvement over naïve prompting method. LLM-based semantic parsing delivers a 10 $$\times $$ × higher F1 score for indirect natural language descriptions than keyword matching. Cross-dataset evaluation on DeepFashion2 further confirmed the generalizability of the framework beyond a single benchmark. The full source code, pre-trained configurations, and usage documentation are publicly available at https://github.com/ChannabasappaMuttal/SemBridge and permanently archived at https://doi.org/10.5281/zenodo.20034554 This framework offers a low-cost, generalizable solution for practical zero-shot fashion analysis with broad industrial applicability in e-commerce and virtual try-on.","journal-article","en","semantic_bridgeguided_trainingfree_openvocabulary_segmentation_for_fashion_2026","","Publisher: Springer Nature | Type: Article"
"SN-0009","API","Springer Nature","2026-09-22","""world model"" video","Dual-view multi-scale feature enhancement and fusion for fine-grained visual classification","Zhang, Ke; Zhong, Junkai; Gao, Peng; Zhao, Qianhao; Liu, Jianlei; Dong, Zhanhua","2026","Applied Intelligence","10.1007/s10489-026-07465-x","https://doi.org/10.1007/s10489-026-07465-x","Fine-grained visual classification (FGVC) aims to distinguish highly similar subcategories within the same coarse-grained category and is important in biodiversity monitoring, intelligent transportation, and industrial inspection. However, its performance is often degraded by subtle inter-class differences, large intra-class variations, scale changes, occlusion, and cluttered backgrounds. These factors weaken discriminative responses and easily induce shortcut learning from background context, thereby limiting generalization. To address this problem, a dual-view multi-scale feature enhancement and fusion network is proposed for accurate and efficient FGVC. Specifically, a lightweight multi-scale feature enhancement module is designed to strengthen discriminative cues in features through multi-branch modeling and channel attention. A dynamic feature fusion module is then designed to align and adaptively integrate enhanced multi-level features in both spatial and channel dimensions, producing more informative representations. In addition, a dual-branch self-distillation framework is constructed, in which the raw-image branch and the enhanced-view branch share the same architecture. Combined with open-vocabulary text-guided foreground cropping and an augmented-view transfer module, the soft predictions of the enhanced branch are used to guide the raw branch toward foreground-oriented decision boundaries. During inference, only a single branch is retained, so improved performance is achieved without additional inference overhead. Extensive experiments on multiple public FGVC benchmarks demonstrate the effectiveness, robustness, and generality of the proposed method.","journal-article","en","dualview_multiscale_feature_enhancement_and_fusion_for_2026","","Publisher: Springer Nature | Type: Article"
"SN-0010","API","Springer Nature","2026-09-22","""world model"" video","From Single-modal to Multimodal Perception in Intelligent Robotic Manipulators: A Review","Weng, Tianhao; Gao, Jiale; Gong, Minghao; Yang, Hongjing; Sui, Xunan; Feng, Longlong; Yang, Dexu; Bai, Xiaohu","2026","Journal of Bionic Engineering","10.1007/s42235-026-01000-x","https://doi.org/10.1007/s42235-026-01000-x","Human beings’ dexterous control ability stems from the seamless collaboration between vision and touch. To enable intelligent manipulators to approach human levels in increasingly complex physical interaction tasks, manipulators with multimodal fusion of touch and vision have become an emerging research direction. However, traditional visual systems have inherent bottlenecks in contact dynamics issues such as fine force control, material identification, and slip detection, which limits their application reliability in unstructured environments. This review examines an emerging research direction: the current single-modal research on vision and touch to the multimodal collaborative mechanism of “global visual guidance and local tactile verification”, aiming to endow robots with dexterous control capabilities closer to those of humans. First, we explored the core hardware that supports this technology, ranging from high-resolution vision systems to diverse electronic skins, and the key computing models, from early convolutional neural networks to the Transformer architecture. Based on this, we propose a three-stage evolution framework, progressing through three stages: task performance enhancement, unified physical representation, and intelligent behavior guidance, in order to reveal the development context and core driving forces of this field. Finally, we discussed the challenges currently faced by fusion technologies, including cross-modal data discrepancies, the sim-to-real gap, and semantic discontinuities. Additional obstacles include system-level integration and computational scalability, and looked forward to future development opportunities.","journal-article","en","from_singlemodal_to_multimodal_perception_in_intelligent_2026","","Publisher: Springer Nature | Type: Article"
